timestamp,solar_power,temperature,battery_level
2025-11-17T07:26:23.060082,521.52,37.88,39.78
2025-11-17T07:26:23.060082,515.52,38.23,77.46
2025-11-17T07:26:23.060082,222.93,29.48,88.56
2025-11-17T07:26:23.060082,709.75,30.37,87.96
2025-11-17T07:26:23.060082,549.9,39.95,48.93
2025-11-17T07:26:23.060082,326.01,31.23,30.88
2025-11-17T07:26:23.060082,492.19,47.09,73.61
2025-11-17T07:26:23.060082,338.13,29.42,76.1
2025-11-17T07:26:23.060082,807.5,40.39,90.78
2025-11-17T07:26:23.060082,755.37,48.49,31.6
2025-11-17T07:26:23.060082,510.24,30.09,61.73
2025-11-17T07:26:23.060082,421.24,48.74,62.58
2025-11-17T07:26:23.060082,206.17,39.46,38.3
2025-11-17T07:26:23.060082,515.8,36.04,83.65
2025-11-17T07:26:23.060082,859.47,45.67,57.92
2025-11-17T07:26:23.060082,492.58,45.43,79.77
2025-11-17T07:26:23.060082,249.79,48.32,47.82
2025-11-17T07:26:23.060082,280.79,42.93,58.41
2025-11-17T07:26:23.060082,743.49,38.54,58.04
2025-11-17T07:26:23.060082,271.79,40.39,81.17
2025-11-17T07:26:23.060082,668.74,46.51,82.35
2025-11-17T07:26:23.060082,618.74,25.05,86.85
2025-11-17T07:26:23.060082,571.98,40.1,94.74
2025-11-17T07:26:23.073409,884.67,37.62,54.03
2025-11-17T07:26:23.073409,756.54,34.5,86.5
2025-11-17T07:26:23.073409,268.22,40.97,64.91
2025-11-17T07:26:23.073409,305.15,35.84,77.04
2025-11-17T07:26:23.073409,295.08,25.57,78.35
2025-11-17T07:26:23.073409,376.82,37.2,30.39
2025-11-17T07:26:23.073409,600.53,41.85,64.96
2025-11-17T07:26:23.073409,307.08,27.24,64.63
2025-11-17T07:26:23.073409,754.19,45.57,74.5
2025-11-17T07:26:23.073409,415.12,46.32,93.16
2025-11-17T07:26:23.073409,736.22,46.16,39.11
2025-11-17T07:26:23.077698,838.46,26.44,62.13
2025-11-17T07:26:23.077698,675.03,37.64,80.49
2025-11-17T07:26:23.077698,854.16,45.4,79.84
2025-11-17T07:26:23.077698,680.58,35.6,62.71
2025-11-17T07:26:23.077698,892.49,38.46,42.45
2025-11-17T07:26:23.077698,771.47,44.08,61.25
2025-11-17T07:26:23.077698,778.27,25.77,65.38
2025-11-17T07:26:23.077698,758.11,44.04,59.2
2025-11-17T07:26:23.077698,875.06,32.32,88.3
2025-11-17T07:26:23.077698,880.9,43.54,58.44
